Name,Gender,City,Frequency,Item,Spends
Simran,F,Mumbai,Monthly,Juice,60
Aman,F,Delhi,Weekly,Rolls,86
Neha,M,Bangalore,Never,Burger,65
Swati,F,Jaipur,Weekly,Pasta,42
Tina,M,Pune,Monthly,Paneer,40
Suri,M,Patna,Monthly,Chowmein,48
Megha,F,Jaipur,Once,Fries,87
Nitish,M,Noida,Once,Biryani,87
Suri,M,Mumbai,Weekly,Biryani,89
Sneha,F,Delhi,Never,Momos,71
Kiran,F,Gurgaon,Daily,Dosa,50
Arjun,F,Chennai,Never,Rolls,67
Suri,F,Chennai,Never,Pizza,38
Ravi,F,Mumbai,Once,Salad,91
Swati,M,Jaipur,Weekly,Noodles,23
Aakash,M,Noida,Weekly,Fries,15
Arjun,M,Bangalore,Weekly,Coffee,75
Neha,M,Jaipur,Weekly,Tea,60
Anu,F,Bangalore,Monthly,Juice,79
Swati,M,Bangalore,Daily,Coffee,43
Kiran,M,Patna,Monthly,Burger,61
Swati,M,Chennai,Daily,Coffee,57
Simran,M,Delhi,Daily,Tea,7
Nitish,F,Chennai,Monthly,Rolls,36
Megha,F,Mumbai,Weekly,Fries,50
Aakash,M,Bangalore,Weekly,Paneer,55
Tina,F,Hyderabad,Once,Burger,33
Suri,F,Mumbai,Never,Fries,55
Rahul,M,Mumbai,Never,Burger,47
Sneha,M,Noida,Once,Chowmein,74
Swati,F,Pune,Never,Burger,44
Aakash,M,Kolkata,Daily,Paneer,93
Anu,M,Noida,Monthly,Juice,92
Sneha,F,Kolkata,Weekly,Sandwich,83
Anu,M,Delhi,Monthly,Coffee,69
Aakash,M,Pune,Daily,Noodles,94
Sneha,F,Chennai,Never,Dosa,45
Arjun,M,Chennai,Monthly,Juice,21
Tina,M,Delhi,Weekly,Juice,87
Aman,M,Hyderabad,Once,Rolls,70
Ravi,F,Jaipur,Once,Sandwich,29
Aman,M,Pune,Daily,Salad,32
Simran,F,Chennai,Weekly,Sandwich,83
Anu,F,Patna,Daily,Sandwich,49
Vikram,M,Pune,Monthly,Tea,73
Megha,M,Patna,Daily,Coffee,53
Simran,M,Kolkata,Daily,Pizza,15
Suri,M,Chennai,Never,Biryani,86
Aakash,F,Jaipur,Weekly,Tea,6
Simran,F,Jaipur,Once,Vada,58
Nitish,F,Bangalore,Monthly,Noodles,94
Aman,F,Pune,Once,Tea,21
Aman,M,Pune,Once,Pav Bhaji,38
Megha,M,Mumbai,Weekly,Burger,65
Aakash,F,Chennai,Once,Vada,100
Kiran,M,Mumbai,Never,Dosa,47
Pooja,M,Jaipur,Never,Rolls,20
Vikram,M,Jaipur,Weekly,Coffee,45
Aakash,F,Noida,Daily,Chowmein,20
Simran,M,Mumbai,Daily,Tea,47
Aakash,M,Kolkata,Never,Juice,18
Swati,M,Gurgaon,Weekly,Salad,38
Aman,F,Patna,Monthly,Vada,8
Vikram,M,Bangalore,Never,Chowmein,43
Aman,M,Delhi,Once,Sandwich,31
Aman,M,Noida,Daily,Pav Bhaji,94
Anu,F,Gurgaon,Weekly,Paneer,62
Sneha,M,Hyderabad,Daily,Pasta,22
Aakash,M,Hyderabad,Never,Pizza,87
Arjun,M,Bangalore,Once,Rolls,23
Aakash,M,Noida,Monthly,Coffee,6
Kiran,F,Hyderabad,Monthly,Samosa,14
Aman,M,Pune,Weekly,Pav Bhaji,94
Rajiv,F,Kolkata,Monthly,Rolls,22
Arjun,M,Jaipur,Never,Rolls,99
Aakash,F,Bangalore,Daily,Juice,48
Swati,M,Pune,Daily,Burger,56
Megha,F,Noida,Daily,Ice Cream,31
Suri,F,Bangalore,Monthly,Paneer,65
Ravi,M,Hyderabad,Weekly,Coffee,23
Swati,M,Noida,Monthly,Momos,43
Aakash,F,Noida,Once,Biryani,72
Aakash,F,Patna,Once,Salad,72
Sneha,M,Bangalore,Never,Juice,42
Kiran,F,Mumbai,Daily,Sandwich,23
Aakash,M,Bangalore,Daily,Coffee,56
Sneha,M,Gurgaon,Weekly,Pasta,71
Megha,F,Pune,Weekly,Samosa,99
Mukku,M,Noida,Never,Biryani,45
Anu,F,Bangalore,Weekly,Momos,84
Suri,M,Pune,Never,Salad,43
Tina,F,Noida,Monthly,Pasta,5
Tina,M,Patna,Daily,Tea,65
Mukku,M,Chennai,Daily,Coffee,81
Aakash,F,Kolkata,Once,Pav Bhaji,55
Tina,M,Delhi,Never,Chowmein,50
Ravi,M,Patna,Monthly,Pav Bhaji,23
Megha,F,Noida,Weekly,Ice Cream,22
Rahul,M,Jaipur,Never,Salad,94
Vikram,M,Hyderabad,Daily,Noodles,75
Arjun,F,Delhi,Never,Chowmein,74
Neha,M,Mumbai,Once,Sandwich,99
Mukku,M,Noida,Monthly,Vada,8
Rahul,M,Mumbai,Once,Noodles,84
Mukku,F,Jaipur,Weekly,Ice Cream,57
Tina,F,Chennai,Once,Tea,77
Ravi,F,Hyderabad,Never,Sandwich,94
Rajiv,F,Jaipur,Weekly,Vada,53
Pooja,M,Pune,Once,Ice Cream,14
Simran,M,Patna,Daily,Pizza,54
Ishita,F,Noida,Monthly,Sandwich,56
Rajiv,M,Delhi,Daily,Momos,25
Ishita,F,Jaipur,Once,Pav Bhaji,23
Anu,F,Pune,Daily,Samosa,49
Rahul,F,Bangalore,Monthly,Vada,67
Tina,F,Mumbai,Never,Sandwich,30
Mukku,F,Mumbai,Weekly,Ice Cream,34
Neha,F,Chennai,Once,Burger,50
Anu,M,Pune,Daily,Coffee,73
Mukku,F,Delhi,Monthly,Juice,10
Vikram,M,Delhi,Daily,Coffee,8
Rajiv,F,Kolkata,Once,Sandwich,75
Simran,M,Jaipur,Never,Fries,52
Simran,F,Mumbai,Daily,Noodles,85
Rahul,F,Bangalore,Monthly,Pizza,63
Mukku,M,Chennai,Daily,Paneer,29
Kiran,F,Gurgaon,Monthly,Momos,65
Sneha,F,Kolkata,Daily,Pav Bhaji,51
Simran,F,Bangalore,Never,Pav Bhaji,77
Tina,M,Delhi,Never,Ice Cream,20
Suri,M,Hyderabad,Once,Biryani,23
Rahul,F,Gurgaon,Daily,Pizza,31
Suri,F,Delhi,Weekly,Vada,56
Anu,F,Noida,Monthly,Noodles,34
Vikram,M,Jaipur,Never,Pizza,18
Suri,M,Jaipur,Monthly,Fries,74
Ishita,M,Gurgaon,Never,Juice,92
Suri,F,Hyderabad,Never,Vada,99
Sneha,M,Mumbai,Weekly,Samosa,8
Tina,F,Gurgaon,Never,Noodles,35
Ravi,F,Jaipur,Weekly,Paneer,54
Aakash,M,Gurgaon,Daily,Paneer,99
Kiran,F,Chennai,Daily,Samosa,6
Arjun,M,Chennai,Daily,Pizza,41
Simran,F,Delhi,Never,Rolls,72
Aman,M,Gurgaon,Never,Sandwich,49
Aakash,F,Hyderabad,Weekly,Noodles,60
Ravi,M,Delhi,Once,Biryani,94
Tina,M,Jaipur,Daily,Vada,16
Megha,F,Bangalore,Never,Noodles,61
Neha,M,Chennai,Daily,Ice Cream,24
Rajiv,F,Pune,Once,Sandwich,47
Aakash,F,Patna,Monthly,Paneer,19
Tina,M,Pune,Weekly,Fries,54
Aman,M,Hyderabad,Once,Pasta,16
Arjun,M,Kolkata,Daily,Tea,44
Ravi,M,Delhi,Monthly,Fries,69
Neha,F,Patna,Never,Salad,100
Sneha,F,Noida,Once,Momos,29
Tina,M,Pune,Once,Pizza,55
Kiran,F,Gurgaon,Weekly,Dosa,49
Simran,M,Delhi,Monthly,Burger,70
Neha,F,Mumbai,Monthly,Samosa,35
Neha,M,Jaipur,Daily,Ice Cream,97
Aakash,F,Jaipur,Once,Tea,82
Swati,M,Pune,Weekly,Dosa,62
Arjun,M,Mumbai,Once,Biryani,94
Nitish,M,Bangalore,Once,Pav Bhaji,20
Suri,M,Chennai,Never,Juice,31
Nitish,M,Pune,Never,Pav Bhaji,16
Aman,F,Mumbai,Daily,Paneer,76
Anu,M,Noida,Monthly,Tea,51
Megha,M,Kolkata,Once,Biryani,58
Vikram,M,Gurgaon,Once,Ice Cream,28
Aman,M,Jaipur,Monthly,Pizza,95
Aakash,M,Patna,Monthly,Momos,21
Kiran,F,Chennai,Weekly,Samosa,90
Aman,M,Noida,Weekly,Salad,12
Mukku,M,Jaipur,Daily,Biryani,36
Megha,F,Hyderabad,Monthly,Fries,57
Kiran,M,Noida,Once,Dosa,16
Ishita,F,Jaipur,Daily,Biryani,73
Simran,F,Mumbai,Never,Biryani,13
Kiran,F,Noida,Daily,Sandwich,13
Ishita,F,Gurgaon,Daily,Paneer,32
Neha,F,Mumbai,Never,Fries,72
Mukku,F,Delhi,Daily,Samosa,39
Simran,F,Noida,Never,Sandwich,30
Nitish,F,Kolkata,Weekly,Noodles,98
Tina,F,Gurgaon,Daily,Dosa,88
Neha,F,Kolkata,Weekly,Pav Bhaji,89
Aakash,M,Jaipur,Never,Momos,27
Anu,F,Delhi,Weekly,Dosa,61
Simran,M,Patna,Daily,Salad,79
Ravi,M,Jaipur,Monthly,Fries,97
Simran,M,Bangalore,Monthly,Samosa,59
Megha,F,Patna,Once,Tea,23
Nitish,M,Delhi,Monthly,Juice,7
Megha,M,Gurgaon,Monthly,Salad,54
Aman,M,Gurgaon,Weekly,Noodles,19
Swati,M,Noida,Monthly,Samosa,26
Swati,M,Mumbai,Once,Paneer,85
Arjun,F,Kolkata,Once,Burger,96
Aakash,M,Kolkata,Once,Tea,9
Rajiv,M,Delhi,Daily,Burger,5
Neha,M,Kolkata,Weekly,Pasta,22
Simran,M,Jaipur,Daily,Salad,52
Anu,F,Noida,Monthly,Ice Cream,36
Megha,M,Bangalore,Monthly,Rolls,21
Ishita,F,Chennai,Daily,Coffee,46
Mukku,M,Noida,Once,Juice,37
Swati,F,Bangalore,Weekly,Juice,90
Aakash,M,Gurgaon,Never,Biryani,20
Sneha,M,Patna,Daily,Pizza,27
Aakash,M,Delhi,Once,Coffee,25
Pooja,F,Hyderabad,Once,Momos,70
Rajiv,M,Noida,Monthly,Rolls,77
Megha,F,Pune,Never,Biryani,78
Swati,M,Bangalore,Daily,Salad,43
Swati,F,Noida,Monthly,Pizza,44
Ravi,M,Chennai,Once,Rolls,75
Rahul,M,Bangalore,Never,Burger,39
Neha,M,Bangalore,Monthly,Tea,6
Pooja,F,Gurgaon,Monthly,Pasta,46
Rahul,F,Gurgaon,Weekly,Momos,31
Vikram,M,Noida,Daily,Noodles,99
Swati,F,Pune,Once,Coffee,40
Sneha,M,Kolkata,Once,Coffee,67
Aakash,M,Hyderabad,Once,Biryani,44
Neha,F,Pune,Monthly,Samosa,100
Rahul,F,Bangalore,Monthly,Ice Cream,58
Swati,F,Jaipur,Once,Dosa,99
Vikram,M,Delhi,Monthly,Vada,32
Suri,F,Bangalore,Never,Noodles,57
Ishita,M,Mumbai,Monthly,Rolls,24
Suri,M,Mumbai,Daily,Fries,20
Rajiv,M,Jaipur,Weekly,Fries,25
Anu,M,Patna,Daily,Pav Bhaji,89
Vikram,F,Mumbai,Once,Noodles,98
Ishita,M,Chennai,Never,Paneer,33
Rahul,F,Gurgaon,Daily,Paneer,49
Vikram,F,Pune,Once,Noodles,7
Swati,M,Noida,Never,Ice Cream,80
Anu,M,Bangalore,Never,Pav Bhaji,7
Rajiv,F,Patna,Once,Juice,68
Neha,M,Mumbai,Daily,Dosa,53
Rahul,F,Pune,Never,Chowmein,90
Aman,M,Jaipur,Daily,Sandwich,81
Suri,F,Pune,Weekly,Juice,19
Swati,M,Mumbai,Daily,Samosa,85
Aman,F,Mumbai,Monthly,Noodles,11
Megha,M,Mumbai,Once,Biryani,46
Mukku,M,Pune,Weekly,Momos,49
Suri,F,Noida,Daily,Pav Bhaji,80
Suri,F,Pune,Never,Momos,96
Sneha,F,Mumbai,Once,Coffee,62
Tina,M,Kolkata,Daily,Pasta,35
Swati,F,Delhi,Never,Coffee,11
Simran,F,Jaipur,Weekly,Samosa,55
Ishita,M,Pune,Weekly,Salad,82
Rajiv,M,Pune,Monthly,Fries,54
Anu,F,Hyderabad,Once,Samosa,5
Anu,F,Pune,Daily,Chowmein,41
Swati,M,Chennai,Daily,Vada,74
Rahul,F,Delhi,Never,Burger,8
Neha,M,Patna,Never,Sandwich,46
Nitish,M,Bangalore,Daily,Biryani,31
Aakash,F,Mumbai,Monthly,Tea,46
Simran,M,Gurgaon,Daily,Pasta,92
Arjun,M,Noida,Monthly,Sandwich,41
Tina,F,Mumbai,Daily,Samosa,92
Aman,M,Jaipur,Monthly,Pasta,89
Ishita,M,Pune,Weekly,Paneer,5
Kiran,M,Chennai,Weekly,Dosa,30
Simran,F,Chennai,Once,Juice,44
Aakash,F,Chennai,Daily,Chowmein,30
Nitish,F,Jaipur,Monthly,Pav Bhaji,24
Tina,F,Hyderabad,Weekly,Salad,20
Mukku,F,Delhi,Never,Rolls,67
Ishita,F,Delhi,Never,Vada,54
Arjun,F,Pune,Weekly,Noodles,70
Sneha,F,Patna,Monthly,Fries,75
Rahul,M,Chennai,Daily,Rolls,33
Suri,M,Chennai,Once,Salad,24
Suri,F,Noida,Monthly,Samosa,30
Swati,F,Hyderabad,Once,Noodles,54
Megha,M,Pune,Monthly,Momos,44
Arjun,F,Noida,Monthly,Samosa,21
Aakash,M,Patna,Once,Salad,40
Kiran,F,Gurgaon,Monthly,Tea,92
Sneha,F,Patna,Once,Dosa,87
Aman,F,Hyderabad,Daily,Sandwich,52
Mukku,M,Gurgaon,Never,Rolls,69
Rahul,M,Patna,Daily,Ice Cream,82
Rahul,M,Bangalore,Monthly,Rolls,67
Anu,M,Kolkata,Daily,Momos,65
Sneha,M,Gurgaon,Never,Pasta,91
Tina,F,Chennai,Once,Coffee,66
Neha,M,Chennai,Daily,Momos,69
Vikram,M,Kolkata,Monthly,Coffee,94
Sneha,M,Delhi,Weekly,Coffee,100
Aakash,M,Chennai,Once,Juice,90
Ravi,F,Kolkata,Once,Tea,45
Aakash,M,Jaipur,Monthly,Biryani,45
Vikram,F,Hyderabad,Daily,Chowmein,97
Simran,M,Gurgaon,Never,Momos,46
Kiran,M,Pune,Once,Pav Bhaji,97
Ishita,M,Chennai,Once,Ice Cream,16
Nitish,F,Mumbai,Weekly,Pav Bhaji,49
Megha,F,Gurgaon,Monthly,Noodles,9
Mukku,F,Hyderabad,Daily,Momos,26
Kiran,F,Bangalore,Daily,Dosa,31
Aakash,M,Hyderabad,Weekly,Ice Cream,16
Sneha,M,Bangalore,Daily,Pav Bhaji,98
Tina,F,Mumbai,Monthly,Ice Cream,98
Suri,M,Delhi,Never,Chowmein,29
Mukku,M,Pune,Monthly,Burger,90
Simran,F,Patna,Weekly,Pizza,17
Mukku,F,Jaipur,Monthly,Noodles,32
Neha,F,Delhi,Daily,Tea,41
Aman,M,Noida,Daily,Dosa,86
Ishita,F,Hyderabad,Once,Pasta,39
Vikram,M,Kolkata,Never,Salad,12
Neha,F,Patna,Monthly,Noodles,8
Tina,F,Bangalore,Weekly,Salad,62
Ravi,F,Mumbai,Weekly,Ice Cream,45
Anu,M,Gurgaon,Monthly,Vada,55
Aakash,M,Chennai,Once,Rolls,71
Simran,F,Chennai,Never,Paneer,54
Megha,F,Chennai,Daily,Chowmein,88
Rajiv,M,Pune,Monthly,Fries,47
Neha,M,Chennai,Daily,Paneer,37
Rahul,F,Mumbai,Daily,Salad,28
Pooja,M,Bangalore,Daily,Juice,48
Nitish,F,Noida,Weekly,Momos,87
Rajiv,F,Delhi,Never,Juice,9
Swati,M,Patna,Daily,Pizza,42
Nitish,M,Gurgaon,Monthly,Paneer,83
Arjun,M,Patna,Daily,Rolls,41
Tina,M,Hyderabad,Never,Vada,91
Aakash,F,Mumbai,Never,Burger,13
Aman,F,Kolkata,Never,Samosa,71
Vikram,M,Patna,Never,Pizza,76
Arjun,F,Noida,Weekly,Pizza,39
Mukku,M,Noida,Daily,Pav Bhaji,51
Arjun,M,Kolkata,Weekly,Salad,87
Rajiv,M,Kolkata,Monthly,Rolls,21
Kiran,M,Hyderabad,Once,Burger,94
Ishita,F,Bangalore,Never,Ice Cream,39
Rahul,F,Jaipur,Never,Burger,40
Rahul,M,Delhi,Once,Pizza,82
Swati,F,Hyderabad,Weekly,Noodles,21
Neha,M,Chennai,Once,Salad,37
Swati,F,Mumbai,Once,Samosa,29
Neha,F,Jaipur,Never,Sandwich,68
Tina,F,Hyderabad,Daily,Noodles,21
Neha,M,Kolkata,Monthly,Juice,54
Ishita,M,Gurgaon,Daily,Paneer,73
Neha,F,Pune,Weekly,Paneer,87
Swati,F,Chennai,Never,Chowmein,15
Suri,F,Chennai,Daily,Paneer,16
Tina,M,Gurgaon,Weekly,Burger,44
Ravi,M,Jaipur,Weekly,Noodles,36
Aakash,M,Pune,Never,Fries,100
Arjun,M,Pune,Weekly,Pav Bhaji,33
Megha,M,Chennai,Once,Pav Bhaji,30
Tina,F,Mumbai,Monthly,Noodles,47
Neha,M,Hyderabad,Monthly,Momos,66
Simran,F,Chennai,Monthly,Noodles,58
Simran,F,Chennai,Monthly,Chowmein,31
Vikram,M,Pune,Weekly,Fries,65
Vikram,M,Bangalore,Never,Pav Bhaji,90
Ravi,F,Pune,Monthly,Chowmein,65
Arjun,M,Jaipur,Once,Fries,50
Suri,M,Delhi,Daily,Noodles,90
Ravi,F,Delhi,Daily,Pasta,69
Kiran,M,Kolkata,Once,Coffee,24
Ishita,F,Pune,Monthly,Momos,48
Ishita,M,Chennai,Never,Rolls,69
Anu,M,Kolkata,Never,Vada,81
Kiran,F,Hyderabad,Never,Vada,77
Swati,M,Kolkata,Monthly,Salad,98
Rajiv,M,Pune,Weekly,Coffee,21
Megha,M,Jaipur,Weekly,Rolls,68
Nitish,F,Jaipur,Once,Fries,42
Neha,M,Chennai,Weekly,Fries,15
Rahul,M,Delhi,Never,Chowmein,71
Ravi,M,Delhi,Once,Salad,79
Ravi,M,Chennai,Monthly,Paneer,89
Nitish,M,Gurgaon,Once,Pizza,25
Rahul,F,Noida,Monthly,Sandwich,16
Ravi,F,Mumbai,Once,Dosa,86
Anu,F,Patna,Monthly,Fries,16
Simran,F,Noida,Daily,Dosa,14
Swati,M,Pune,Once,Pizza,14
Vikram,M,Jaipur,Monthly,Rolls,58
Rajiv,F,Jaipur,Monthly,Burger,42
Aman,M,Noida,Never,Vada,10
Megha,F,Hyderabad,Daily,Fries,76
Kiran,F,Kolkata,Daily,Momos,97
Ishita,F,Chennai,Monthly,Paneer,33
Pooja,M,Patna,Never,Paneer,61
Arjun,F,Pune,Once,Rolls,32
Rajiv,M,Bangalore,Daily,Ice Cream,30
Aman,M,Pune,Weekly,Burger,46
Suri,F,Kolkata,Once,Rolls,21
Aakash,M,Delhi,Once,Samosa,10
Nitish,M,Pune,Once,Biryani,94
Neha,F,Patna,Monthly,Biryani,81
Aakash,F,Hyderabad,Monthly,Pav Bhaji,40
Neha,F,Chennai,Once,Pizza,15
Aman,F,Gurgaon,Monthly,Paneer,71
Ravi,M,Bangalore,Monthly,Paneer,37
Vikram,M,Kolkata,Never,Pav Bhaji,16
Swati,F,Delhi,Never,Pasta,49
Rajiv,M,Hyderabad,Monthly,Vada,80
Aman,M,Patna,Daily,Tea,91
Sneha,F,Kolkata,Never,Coffee,25
Vikram,M,Delhi,Daily,Juice,57
Arjun,M,Pune,Once,Dosa,96
Nitish,F,Kolkata,Monthly,Samosa,23
Simran,F,Chennai,Daily,Fries,53
Vikram,M,Mumbai,Monthly,Biryani,29
Suri,M,Bangalore,Daily,Biryani,43
Arjun,F,Bangalore,Once,Dosa,20
Ravi,M,Kolkata,Daily,Coffee,48
Tina,M,Pune,Never,Biryani,97
Simran,F,Kolkata,Once,Fries,57
Mukku,M,Chennai,Daily,Coffee,45
Aman,M,Delhi,Monthly,Samosa,79
Neha,F,Noida,Monthly,Pasta,20
Ishita,F,Bangalore,Weekly,Ice Cream,29
Aakash,F,Bangalore,Never,Burger,58
Megha,F,Jaipur,Daily,Salad,63
Mukku,M,Delhi,Never,Vada,91
Aakash,F,Mumbai,Once,Ice Cream,67
Suri,F,Pune,Monthly,Burger,16
Sneha,M,Delhi,Monthly,Pizza,90
Ishita,F,Hyderabad,Weekly,Pasta,71
Tina,M,Delhi,Weekly,Biryani,82
Anu,M,Pune,Monthly,Noodles,48
Kiran,F,Noida,Weekly,Coffee,51
Rahul,F,Delhi,Weekly,Biryani,80
Rajiv,M,Noida,Never,Coffee,65
Tina,F,Patna,Weekly,Samosa,55
Vikram,F,Mumbai,Weekly,Ice Cream,54
Aman,M,Mumbai,Never,Paneer,20
Ishita,M,Chennai,Weekly,Dosa,31
Sneha,M,Bangalore,Never,Pizza,27
Ishita,F,Pune,Never,Fries,89
Pooja,M,Chennai,Once,Dosa,43
Suri,M,Hyderabad,Weekly,Pizza,69
Simran,F,Hyderabad,Never,Paneer,27
Nitish,F,Chennai,Once,Tea,90
Arjun,F,Delhi,Weekly,Dosa,47
Swati,F,Noida,Weekly,Ice Cream,80
Anu,M,Bangalore,Monthly,Pizza,24
Tina,M,Patna,Weekly,Biryani,10
Rahul,F,Pune,Never,Burger,88
Sneha,F,Kolkata,Monthly,Dosa,17
Suri,M,Noida,Once,Samosa,19
Pooja,F,Kolkata,Never,Burger,71
Megha,M,Noida,Weekly,Juice,14
Anu,F,Noida,Once,Rolls,67
Arjun,F,Gurgaon,Once,Juice,33
Ishita,M,Bangalore,Once,Coffee,99
Ravi,M,Gurgaon,Once,Juice,46
Mukku,M,Jaipur,Once,Salad,92
Tina,F,Hyderabad,Weekly,Ice Cream,45
Vikram,F,Bangalore,Never,Fries,72
Vikram,F,Bangalore,Once,Salad,6
Ishita,M,Bangalore,Monthly,Salad,72
Anu,M,Bangalore,Never,Samosa,89
Mukku,F,Gurgaon,Never,Vada,97
